対象年,対象月,提供先コード,提供先名,商品コード,商品名,バリエーション,加工区分,登録担当,登録価格,供給ルート
2026,7,C005,提供先5,ITEM-007,サンプル商品007,,,担当4,664.0,ROUTE-X
2026,7,C005,提供先5,ITEM-008,サンプル商品008,,,担当1,681.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-009,サンプル商品009,,,担当2,698.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-010,サンプル商品010,,,担当3,715.0,ROUTE-X
2026,7,C005,提供先5,ITEM-011,サンプル商品011,,,担当4,732.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-012,サンプル商品012,,,担当1,749.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-013,サンプル商品013,,,担当2,766.0,ROUTE-X
2026,7,C005,提供先5,ITEM-014,サンプル商品014,,,担当3,783.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-015,サンプル商品015,,,担当4,800.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-016,サンプル商品016,,,担当1,817.0,ROUTE-X
2026,7,C005,提供先5,ITEM-017,サンプル商品017,,,担当2,834.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-018,サンプル商品018,,,担当3,851.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-019,サンプル商品019,,,担当4,868.0,ROUTE-X
2026,7,C005,提供先5,ITEM-020,サンプル商品020,,,担当1,885.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-002,サンプル商品002,ブルー,,担当3,568.0,ROUTE-X
2026,7,C001,提供先1,ITEM-003,サンプル商品003,大容量,,担当4,615.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-004,サンプル商品004,レッド,,担当1,616.0,ROUTE-X
2026,7,C002,提供先2,ITEM-006,サンプル商品006,小容量,,担当3,600.0,ROUTE-Z
2026,7,C003,提供先3,ITEM-007,サンプル商品007,ブルー,,担当4,671.0,ROUTE-Y
2026,7,C004,提供先4,ITEM-008,サンプル商品008,大容量,,担当1,732.0,ROUTE-X
2026,7,C005,提供先5,ITEM-009,サンプル商品009,レッド,,担当2,733.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-011,サンプル商品011,小容量,,担当4,717.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-012,サンプル商品012,,追加加工,担当1,793.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-013,サンプル商品013,,簡易包装,担当2,729.0,ROUTE-X
2026,7,C003,提供先3,ITEM-014,サンプル商品014,,追加加工,担当3,855.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-016,サンプル商品016,,簡易包装,担当1,796.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-017,サンプル商品017,,追加加工,担当2,909.0,ROUTE-Y
2026,7,C001,提供先1,ITEM-005,サンプル商品005,,,担当2,675.0,ROUTE-Y
2026,7,C002,提供先2,ITEM-010,サンプル商品010,ブルー,,担当3,720.0,ROUTE-X
2026,7,C002,提供先2,ITEM-010,サンプル商品010,ブルー,,担当3,748.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-015,サンプル商品015,,追加加工,担当4,860.0,ROUTE-Y
2026,7,C003,提供先3,ITEM-015,サンプル商品015,,追加加工,担当4,905.0,ROUTE-Z
2026,7,C004,提供先4,ITEM-020,サンプル商品020,,,担当1,910.0,ROUTE-Y
2026,7,C005,提供先5,ITEM-018,サンプル商品018,,,担当3,851.0,ROUTE-Z
2026,7,C005,提供先5,ITEM-019,サンプル商品019,,,担当4,868.0,ROUTE-X
2026,7,C001,提供先1,,コード欠損商品,,,担当1,500.0,ROUTE-X
2026,7,C002,提供先2,ITEM-901,価格欠損商品,,,担当2,,ROUTE-Y
2026,7,,提供先未設定,ITEM-902,提供先欠損商品,,,担当3,777.0,ROUTE-Z
